district,1,2,3,4,5,6,7,8,9,10
谷地頭,0.300,0.200,0.100,0.000,0.100,0.000,0.100,0.000,0.000,0.200
豊原,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
豊崎,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000
豊川,0.333,0.222,0.296,0.000,0.000,0.037,0.000,0.037,0.074,0.000
豊浦,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
赤川,0.000,0.000,0.500,0.000,0.000,0.000,0.500,0.000,0.000,0.000
金堀,0.000,0.000,0.500,0.000,0.250,0.000,0.000,0.000,0.250,0.000
鈴蘭丘,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
銚子,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
陣川,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.500,0.000,0.000
電,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
青柳,0.048,0.048,0.048,0.000,0.095,0.048,0.143,0.190,0.095,0.286
駒場,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.500,0.000
高岱,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
高松,0.250,0.000,0.375,0.250,0.125,0.000,0.000,0.000,0.000,0.000
