cluster,road,sidewalk,building,fence,pole,vegetation,terrain,sky,car,wall,traffic sign,person,bicycle,train,traffic light,truck,rider,bus,motorcycle
0,13.636224897959185,0.7670187755102041,1.383495918367347,1.432341224489796,0.25309061224489793,72.94444857142857,5.3017248979591844,3.2798865306122447,0.022283265306122447,0.8820751020408163,0.07832979591836735,0.016857959183673468,0.0019146938775510204,5.959183673469388e-05,5.102040816326531e-05,9.551020408163265e-05,1.9999999999999998e-05,0.0,8.040816326530612e-05
1,4.892368421052631,14.647605263157896,38.93085789473684,10.544342105263159,0.6931842105263158,8.332415789473684,2.913621052631579,13.043294736842105,0.2612263157894737,5.647042105263158,0.04800526315789474,0.008352631578947367,0.002621052631578947,0.021226315789473683,0.0,0.0138,0.0,0.0,0.0
2,17.998554805194804,6.742215324675325,62.30137012987013,0.890175844155844,0.9550397402597403,1.938371948051948,1.822273766233766,5.420351948051948,1.298997142857143,0.36168909090909085,0.08686909090909091,0.09653428571428571,0.057857402597402595,0.004242597402597402,0.00202987012987013,0.014792207792207792,0.0006719480519480519,0.006433766233766233,0.0015275324675324677
3,0.9290125,37.059912499999996,3.320575,3.355975,0.6712875,10.090125,1.1080375,42.17205,0.0574375,0.9718249999999999,0.0372375,0.22438750000000002,0.0014624999999999998,0.0,0.000575,0.0,6.25e-05,0.0,0.0
4,14.378242857142856,0.8999857142857143,2.7948714285714287,0.1719,0.4358142857142857,2.6852285714285715,43.31068571428572,34.90522857142857,0.017542857142857145,0.35428571428571426,2.8571428571428574e-05,0.0,0.046142857142857145,0.0,0.0,0.0,0.0,0.0,0.0
5,19.23874,1.0334400000000001,21.79048,0.71254,0.32812,2.20496,0.5271399999999999,13.6374,0.8191,0.13428,0.0648,0.12652000000000002,0.17646,1.4306,0.0,37.28888,0.0081,0.47842,0.0
6,24.2056,0.542,0.2163,0.0273,0.0288,36.2542,0.2166,1.3711,0.0034,0.0227,0.0,0.074,0.0,0.0,0.0,37.0381,0.0,0.0,0.0
7,16.6149,3.12465,2.7351,6.651599999999999,1.0747,0.198,0.73195,31.68705,0.0,0.4049,0.26525,0.0311,0.0,36.2438,0.00465,0.2324,0.0,0.0,0.0
8,6.569180392156862,1.619721568627451,5.83908431372549,4.552719607843137,0.6184352941176471,43.84383921568627,25.909772549019607,9.231125490196078,0.16781372549019608,1.5714117647058823,0.01894313725490196,0.02225294117647059,0.030109803921568628,2.9411764705882354e-05,0.0007372549019607844,0.0,0.0048196078431372545,0.0,0.0
9,13.5602528,8.0164376,24.95788,2.7815872,1.3790168,28.819209599999997,3.3781296,14.4232696,0.6267368,1.9147696,0.0724904,0.0343208,0.026492,0.0021208,0.0011968,0.0035503999999999996,0.00048160000000000005,0.0,0.002052
10,30.66464570191713,1.8971640692640692,5.438763636363636,1.7588322201607915,0.5669690785405072,36.88796425479283,5.453819913419914,15.26194693877551,0.38002640692640693,1.5247353741496599,0.07227526283240569,0.042446815089672234,0.012290970933828077,0.0033440940012368584,0.003364378478664193,0.025810636982065552,0.003365800865800866,0.0012025355596784167,0.0010282622139764998
11,5.15671875,2.437421875,26.968375,3.3719875,0.619853125,8.0465375,22.866896875,28.258646875,1.5283562499999999,0.6364062500000001,0.027781249999999997,0.008478125,0.02891875,0.0005656249999999999,8.4375e-05,0.0428625,0.0,0.0,9.0625e-05
12,17.159022727272728,0.9151136363636364,27.845545454545455,1.2982954545454546,1.3602272727272726,2.745568181818182,2.77415,22.82868636363636,22.13833181818182,0.6737636363636363,0.058945454545454544,0.19172727272727272,0.004131818181818182,0.0005318181818181818,0.005127272727272727,0.0008318181818181818,0.0,0.0,0.0
13,28.765442857142858,0.06458571428571429,3.554542857142857,0.01981428571428571,0.3902285714285715,0.33394285714285715,0.04592857142857143,33.1939,0.24259999999999998,0.05245714285714286,0.07812857142857142,0.006699999999999999,0.0,1.1375142857142857,0.11275714285714286,0.0,0.0,32.00142857142857,0.0
14,35.497187356749514,3.984610753088257,18.576666111028427,1.46118104628665,1.0084840080369102,4.016728955201667,2.006650022324751,31.297830473284712,1.1252891352879892,0.7233650096740586,0.0917768492335169,0.04702654412859056,0.019582899240958473,0.025857262985563328,0.016016661705610953,0.08865010418216997,0.0034690132460187526,0.008397901473433547,0.0012271543384432208
15,0.82335,3.3408,7.1592,31.658299999999997,0.0017,1.5044,7.475099999999999,47.260000000000005,0.0,0.6322,0.00295,0.0055,0.0,0.0,0.0,0.13645,0.0,0.0,0.0
16,27.321663636363635,1.7892727272727276,4.350118181818182,34.229127272727276,0.7796545454545455,4.874709090909091,5.150618181818182,20.633754545454547,0.09363636363636364,0.6909181818181819,0.010936363636363636,0.009263636363636365,0.03972727272727273,0.001309090909090909,0.0016636363636363637,0.0226,0.0010454545454545454,0.0,0.0
17,74.1428,6.2991,2.521,0.75,0.0,6.9749,0.1479,1.1318,0.0217,8.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8.1034375,4.365975,5.2955625,2.551425,0.05195,12.5322625,5.9813875,5.6501375,0.018575,55.449225,0.0,6.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.2197,20.2102,39.6987,0.0,23.1338,0.0276,0.0015,0.0,16.665,0.0046,0.0134,0.0254,0.0,0.0,0.0,0.0,0.0,0.0
