cluster,road,sidewalk,building,fence,pole,vegetation,terrain,sky,car,wall,traffic sign,person,bicycle,train,traffic light,truck,rider,bus,motorcycle
0,0.19069109090909092,0.09974006818181817,0.038418772727272725,0.05587179545454545,0.004637022727272727,0.06440665909090909,0.13259868181818182,0.40275538636363634,0.005063045454545455,0.004324136363636363,0.00018595454545454547,0.0011301363636363635,1.3113636363636365e-05,2.0863636363636367e-05,2.4795454545454545e-05,8.6e-05,2.9613636363636363e-05,2.4999999999999998e-06,0.0
1,0.3461507548532524,0.040299505290275095,0.19166055060263135,0.01468497242156592,0.01000468469960438,0.05536099514674763,0.022661734704204618,0.2966896062655258,0.011339323442819026,0.007934196407213176,0.0009073245928788297,0.0004723645229551937,0.00019799411169380807,0.00030315148587726565,0.00015238060079124114,0.0008992909881313828,3.340180789401049e-05,0.00023579381727849847,1.1947350262213635e-05
2,0.2662416933427762,0.015922495042492917,0.06038893342776203,0.02137291997167139,0.0045257407932011336,0.41174357861189803,0.05053242917847025,0.15107301487252126,0.0027093109065155804,0.012952332861189802,0.0007038271954674222,0.0004561168555240793,0.00014951345609065156,2.2696175637393766e-05,1.0745750708215297e-05,0.0011404178470254959,2.896458923512748e-05,1.3815155807365439e-05,1.1416430594900851e-05
3,0.0,0.00040899999999999997,0.87167625,0.025298499999999998,0.005761,0.00151525,0.000476,0.0,0.0699555,0.02463625,0.0,0.0,0.0,0.0,0.0,4.3249999999999994e-05,0.0,0.0,0.000229
4,0.13225225000000002,0.043579650000000004,0.50177195,0.0223759,0.008430875000000001,0.064394125,0.06546235,0.12111657499999999,0.0036773,0.03432355,0.0008003750000000001,0.00020412500000000001,0.0013311500000000001,6.005e-05,4.16e-05,0.00016340000000000001,1.38e-05,1.2500000000000002e-07,6.75e-07
