point_id,angle,direction,filename
-9pA8w0rdavZEoUCKMJvOw,0,front,pano_-9pA8w0rdavZEoUCKMJvOw_h0.jpg
-9pA8w0rdavZEoUCKMJvOw,90,right,pano_-9pA8w0rdavZEoUCKMJvOw_h90.jpg
-9pA8w0rdavZEoUCKMJvOw,180,back,pano_-9pA8w0rdavZEoUCKMJvOw_h180.jpg
-9pA8w0rdavZEoUCKMJvOw,270,left,pano_-9pA8w0rdavZEoUCKMJvOw_h270.jpg
-BDapUPh_2mQh1xQZDPZNA,0,front,pano_-BDapUPh_2mQh1xQZDPZNA_h0.jpg
-BDapUPh_2mQh1xQZDPZNA,90,right,pano_-BDapUPh_2mQh1xQZDPZNA_h90.jpg
-BDapUPh_2mQh1xQZDPZNA,180,back,pano_-BDapUPh_2mQh1xQZDPZNA_h180.jpg
-BDapUPh_2mQh1xQZDPZNA,270,left,pano_-BDapUPh_2mQh1xQZDPZNA_h270.jpg
-Bce9eB56Fq6L6Vm6MhiJg,0,front,pano_-Bce9eB56Fq6L6Vm6MhiJg_h0.jpg
-Bce9eB56Fq6L6Vm6MhiJg,90,right,pano_-Bce9eB56Fq6L6Vm6MhiJg_h90.jpg
-Bce9eB56Fq6L6Vm6MhiJg,180,back,pano_-Bce9eB56Fq6L6Vm6MhiJg_h180.jpg
-Bce9eB56Fq6L6Vm6MhiJg,270,left,pano_-Bce9eB56Fq6L6Vm6MhiJg_h270.jpg
-C9gVXPnv1ONyOz-F-pJXA,0,front,pano_-C9gVXPnv1ONyOz-F-pJXA_h0.jpg
-C9gVXPnv1ONyOz-F-pJXA,90,right,pano_-C9gVXPnv1ONyOz-F-pJXA_h90.jpg
-C9gVXPnv1ONyOz-F-pJXA,180,back,pano_-C9gVXPnv1ONyOz-F-pJXA_h180.jpg
-C9gVXPnv1ONyOz-F-pJXA,270,left,pano_-C9gVXPnv1ONyOz-F-pJXA_h270.jpg
-CrIjWtdaORzQj-dpW8g0A,0,front,pano_-CrIjWtdaORzQj-dpW8g0A_h0.jpg
-CrIjWtdaORzQj-dpW8g0A,90,right,pano_-CrIjWtdaORzQj-dpW8g0A_h90.jpg
-CrIjWtdaORzQj-dpW8g0A,180,back,pano_-CrIjWtdaORzQj-dpW8g0A_h180.jpg
-CrIjWtdaORzQj-dpW8g0A,270,left,pano_-CrIjWtdaORzQj-dpW8g0A_h270.jpg
