cluster,jsd_from_mean_front,jsd_from_mean_right,jsd_from_mean_back,jsd_from_mean_left,most_distinct_jsd_score
1,0.11187687187570426,0.11545193641283137,0.1193011943397529,0.11922016376494048,0.14923408654922837
2,0.14945380377347645,0.21662999736780045,0.14737804144937425,0.18455130126543404,0.23017434271375037
3,0.1631139823029995,0.16630575846384157,0.23064437354286105,0.159584054997769,0.2345621709816932
4,0.20137160345751381,0.1400036199534061,0.14901557009797292,0.1710641032355057,0.21657364570435406
5,0.2896856012609398,0.1989050601830474,0.304774385542474,0.18064272606404402,0.34242798388606566
6,0.21269289856501122,0.2706053054955144,0.20898911630519296,0.26200090180372376,0.3077548017461376
